Result for strategy NFIX_BB_RPB
============================================================ BACKTESTING REPORT ============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Win  Draw  Loss  Win% |
|                21 |      1 |           1.02 |           1.02 |             2.551 |           0.26 |         0:10:00 |     1     0     0   100 |
|            101 38 |      1 |           0.78 |           0.78 |             2.167 |           0.22 |         0:35:00 |     1     0     0   100 |
|           5 8 101 |      2 |           0.49 |           0.98 |             2.154 |           0.22 |         0:12:00 |     2     0     0   100 |
|                43 |      4 |          -0.00 |          -0.02 |            -1.085 |          -0.11 |         5:41:00 |     3     0     1  75.0 |
|                18 |      4 |          -1.27 |          -5.09 |           -11.383 |          -1.14 |         7:41:00 |     3     0     1  75.0 |
|                 2 |      4 |          -0.74 |          -2.94 |           -18.902 |          -1.89 |        20:49:00 |     3     0     1  75.0 |
|            31 101 |      1 |          -7.39 |          -7.39 |           -30.725 |          -3.07 |        14:15:00 |     0     0     1     0 |
|            26 101 |      1 |         -11.39 |         -11.39 |           -55.313 |          -5.53 | 2 days, 9:25:00 |     0     0     1     0 |
|            101 40 |      1 |         -13.73 |         -13.73 |           -57.612 |          -5.76 | 1 day, 19:30:00 |     0     0     1     0 |
|               102 |      4 |          -4.18 |         -16.73 |           -81.934 |          -8.19 |         8:31:00 |     3     0     1  75.0 |
|                36 |      2 |         -15.30 |         -30.61 |          -149.565 |         -14.96 |  1 day, 4:00:00 |     0     0     2     0 |
|             TOTAL |    296 |           1.61 |         475.31 |          1546.724 |         154.67 |         4:49:00 |   273     0    23  92.2 |
==================================================================== SELL REASON STATS =====================================================================
|                                  Sell Reason |   Sells |   Win  Draws  Loss  Win% |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |
|----------------------------------------------+---------+--------------------------+----------------+----------------+-------------------+----------------|
|                           trailing_stop_loss |     111 |    111     0     0   100 |           3.51 |         389.48 |          1384.36  |          77.9  |
|                    sell_profit_t_1_1 ( 101 ) |       6 |      6     0     0   100 |           1.62 |           9.75 |            27.486 |           1.95 |
|                  sell_stoploss_u_e_1 ( 101 ) |       5 |      0     0     5     0 |          -9.34 |         -46.68 |          -151.905 |          -9.34 |
|                    sell_profit_t_0_1 ( 101 ) |       5 |      5     0     0   100 |           0.86 |           4.32 |            13.264 |           0.86 |
|                   sell_profit_t_1_12 ( 101 ) |       5 |      5     0     0   100 |           1.43 |           7.15 |            24.443 |           1.43 |
|                sell_profit_u_bear_1_1 ( 11 ) |       5 |      5     0     0   100 |           1.51 |           7.53 |            28.857 |           1.51 |
|                sell_profit_u_bear_1_1 ( 26 ) |       4 |      4     0     0   100 |           1.53 |           6.1  |            29.801 |           1.22 |
|                    sell_profit_t_2_4 ( 101 ) |       3 |      3     0     0   100 |           2.18 |           6.55 |            24.106 |           1.31 |
|                sell_profit_u_bear_2_1 ( 11 ) |       3 |      3     0     0   100 |           2.62 |           7.87 |            26.764 |           1.57 |
|                         sell_long_t_0 ( 33 ) |       3 |      3     0     0   100 |           0.7  |           2.1  |             6.41  |           0.42 |
|                sell_profit_t_0_2 ( 5 8 101 ) |       2 |      2     0     0   100 |           0.49 |           0.98 |             2.154 |           0.2  |
|                         sell_long_t_0 ( 32 ) |       2 |      2     0     0   100 |           0.68 |           1.36 |             4.492 |           0.27 |
|                     sell_profit_w_3_9 ( 23 ) |       2 |      2     0     0   100 |           3.67 |           7.34 |            26.718 |           1.47 |
|                  sell_stoploss_atr_4 ( 101 ) |       2 |      0     0     2     0 |         -27.85 |         -55.7  |          -221.47  |         -11.14 |
|                    sell_profit_t_1_6 ( 101 ) |       2 |      2     0     0   100 |           1.48 |           2.97 |             9.387 |           0.59 |
